"year","gender","place","disease","age","perten"
1979,"不分男女","台閩地區","口腔、口咽及下咽",53.37,2.5
1979,"不分男女","台北市","口腔、口咽及下咽",52,2.96
1979,"不分男女","台中市","口腔、口咽及下咽",54.18,2.88
1979,"不分男女","台南市","口腔、口咽及下咽",55.79,1.24
1979,"不分男女","高雄市","口腔、口咽及下咽",48.56,1.49
1979,"不分男女","基隆市","口腔、口咽及下咽",56.7,2.9
1979,"不分男女","新竹市","口腔、口咽及下咽",48.3,3.62
1979,"不分男女","嘉義市","口腔、口咽及下咽",60.75,3.16
1979,"不分男女","新北市","口腔、口咽及下咽",52.85,2.2
1979,"不分男女","桃園市","口腔、口咽及下咽",55.81,2.07
1979,"不分男女","新竹縣","口腔、口咽及下咽",64.5,1.11
1979,"不分男女","宜蘭縣","口腔、口咽及下咽",53,2.27
1979,"不分男女","苗栗縣","口腔、口咽及下咽",55.67,0.55
1979,"不分男女","彰化縣","口腔、口咽及下咽",52.25,4.77
1979,"不分男女","南投縣","口腔、口咽及下咽",52.7,1.92
1979,"不分男女","雲林縣","口腔、口咽及下咽",49.47,1.88
1979,"不分男女","嘉義縣","口腔、口咽及下咽",52.17,2.08
1979,"不分男女","屏東縣","口腔、口咽及下咽",60.2,2.83
1979,"不分男女","澎湖縣","口腔、口咽及下咽",56.5,1.84
1979,"不分男女","花蓮縣","口腔、口咽及下咽",47.89,2.55
1979,"不分男女","台東縣","口腔、口咽及下咽",55.88,6.04
1979,"男","台閩地區","口腔、口咽及下咽",53.27,3.97
1979,"男","台北市","口腔、口咽及下咽",51.31,3.68
1979,"男","台中市","口腔、口咽及下咽",54.83,5.2
1979,"男","台南市","口腔、口咽及下咽",56.47,2.13
1979,"男","高雄市","口腔、口咽及下咽",48.52,2.05
1979,"男","基隆市","口腔、口咽及下咽",56,4.95
1979,"男","新竹市","口腔、口咽及下咽",47,5.52
1979,"男","嘉義市","口腔、口咽及下咽",60.29,5.35
1979,"男","新北市","口腔、口咽及下咽",52.3,3.89
1979,"男","桃園市","口腔、口咽及下咽",55.8,2.8
1979,"男","新竹縣","口腔、口咽及下咽",64.5,2.1
1979,"男","宜蘭縣","口腔、口咽及下咽",52.44,3.88
1979,"男","苗栗縣","口腔、口咽及下咽",48.5,0.71
1979,"男","彰化縣","口腔、口咽及下咽",51.9,8.74
1979,"男","南投縣","口腔、口咽及下咽",52.7,3.66
1979,"男","雲林縣","口腔、口咽及下咽",51.09,2.65
1979,"男","嘉義縣","口腔、口咽及下咽",52.17,3.99
1979,"男","屏東縣","口腔、口咽及下咽",59.35,4.29
1979,"男","澎湖縣","口腔、口咽及下咽",56.5,3.52
1979,"男","花蓮縣","口腔、口咽及下咽",44,3.1
1979,"男","台東縣","口腔、口咽及下咽",55.27,10.37
1979,"女","台閩地區","口腔、口咽及下咽",53.84,0.89
1979,"女","台北市","口腔、口咽及下咽",53.26,2.18
1979,"女","台中市","口腔、口咽及下咽",45,0.4
1979,"女","台南市","口腔、口咽及下咽",50,0.27
1979,"女","高雄市","口腔、口咽及下咽",48.67,0.88
1979,"女","基隆市","口腔、口咽及下咽",63,0.61
1979,"女","新竹市","口腔、口咽及下咽",53.5,1.52
1979,"女","嘉義市","口腔、口咽及下咽",64,0.82
1979,"女","新北市","口腔、口咽及下咽",58.75,0.39
1979,"女","桃園市","口腔、口咽及下咽",55.83,1.26
1979,"女","宜蘭縣","口腔、口咽及下咽",58,0.48
1979,"女","苗栗縣","口腔、口咽及下咽",70,0.39
1979,"女","彰化縣","口腔、口咽及下咽",58.33,0.54
1979,"女","雲林縣","口腔、口咽及下咽",45,1.04
1979,"女","屏東縣","口腔、口咽及下咽",63.6,1.2
1979,"女","花蓮縣","口腔、口咽及下咽",55.67,1.88
1979,"女","台東縣","口腔、口咽及下咽",65,0.79
1980,"不分男女","台閩地區","口腔、口咽及下咽",53.81,2.85
1980,"不分男女","台北市","口腔、口咽及下咽",54.21,3.02
1980,"不分男女","台中市","口腔、口咽及下咽",56.65,2.68
1980,"不分男女","台南市","口腔、口咽及下咽",54.62,1.88
1980,"不分男女","高雄市","口腔、口咽及下咽",50.04,2.5
1980,"不分男女","基隆市","口腔、口咽及下咽",52.63,2.32
1980,"不分男女","新竹市","口腔、口咽及下咽",58,3.55
1980,"不分男女","嘉義市","口腔、口咽及下咽",54.05,7.54
1980,"不分男女","新北市","口腔、口咽及下咽",51.38,2.13
1980,"不分男女","桃園市","口腔、口咽及下咽",51.47,2.85
1980,"不分男女","新竹縣","口腔、口咽及下咽",50.43,1.94
1980,"不分男女","宜蘭縣","口腔、口咽及下咽",50.75,0.9
1980,"不分男女","苗栗縣","口腔、口咽及下咽",53.09,2.03
1980,"不分男女","彰化縣","口腔、口咽及下咽",53.36,4.8
1980,"不分男女","南投縣","口腔、口咽及下咽",54.89,1.72
1980,"不分男女","雲林縣","口腔、口咽及下咽",56.55,4.14
1980,"不分男女","嘉義縣","口腔、口咽及下咽",55.75,2.79
1980,"不分男女","屏東縣","口腔、口咽及下咽",48.63,0.9
1980,"不分男女","花蓮縣","口腔、口咽及下咽",59.91,3.1
1980,"不分男女","台東縣","口腔、口咽及下咽",57.39,6.4
1980,"不分男女","連江縣","口腔、口咽及下咽",32,11.04
1980,"男","台閩地區","口腔、口咽及下咽",53.44,4.55
1980,"男","台北市","口腔、口咽及下咽",54.68,4.61
1980,"男","台中市","口腔、口咽及下咽",55.32,4.57
1980,"男","台南市","口腔、口咽及下咽",53.32,2.73
1980,"男","高雄市","口腔、口咽及下咽",49.96,3.92
1980,"男","基隆市","口腔、口咽及下咽",52.63,4.41
1980,"男","新竹市","口腔、口咽及下咽",58,6.79
1980,"男","嘉義市","口腔、口咽及下咽",53.17,13.82
1980,"男","新北市","口腔、口咽及下咽",51.47,3.08
1980,"男","桃園市","口腔、口咽及下咽",50.64,5.03
1980,"男","新竹縣","口腔、口咽及下咽",59.4,2.62
1980,"男","宜蘭縣","口腔、口咽及下咽",52,1.29
1980,"男","苗栗縣","口腔、口咽及下咽",52.8,3.53
1980,"男","彰化縣","口腔、口咽及下咽",52.69,8.14
1980,"男","南投縣","口腔、口咽及下咽",54,2.92
1980,"男","雲林縣","口腔、口咽及下咽",55.54,6.77
1980,"男","嘉義縣","口腔、口咽及下咽",53.23,4.33
1980,"男","屏東縣","口腔、口咽及下咽",51.2,1.07
1980,"男","花蓮縣","口腔、口咽及下咽",56.78,4.64
1980,"男","台東縣","口腔、口咽及下咽",58.23,8.41
1980,"男","連江縣","口腔、口咽及下咽",32,19.07
1980,"女","台閩地區","口腔、口咽及下咽",55.64,0.99
1980,"女","台北市","口腔、口咽及下咽",52.43,1.31
1980,"女","台中市","口腔、口咽及下咽",66.8,0.64
1980,"女","台南市","口腔、口咽及下咽",58.71,0.94
1980,"女","高雄市","口腔、口咽及下咽",50.4,0.95
1980,"女","嘉義市","口腔、口咽及下咽",70,0.82
1980,"女","新北市","口腔、口咽及下咽",51.08,1.1
1980,"女","桃園市","口腔、口咽及下咽",63,0.4
1980,"女","新竹縣","口腔、口咽及下咽",28,1.18
1980,"女","宜蘭縣","口腔、口咽及下咽",47,0.48
1980,"女","苗栗縣","口腔、口咽及下咽",56,0.39
1980,"女","彰化縣","口腔、口咽及下咽",58,1.24
1980,"女","南投縣","口腔、口咽及下咽",62,0.4
1980,"女","雲林縣","口腔、口咽及下咽",62.2,1.31
1980,"女","嘉義縣","口腔、口咽及下咽",66.67,1.1
1980,"女","屏東縣","口腔、口咽及下咽",44.33,0.71
1980,"女","花蓮縣","口腔、口咽及下咽",74,1.24
1980,"女","台東縣","口腔、口咽及下咽",55.2,3.95
1981,"不分男女","台閩地區","口腔、口咽及下咽",54.5,2.58
1981,"不分男女","台北市","口腔、口咽及下咽",55.73,2.42
1981,"不分男女","台中市","口腔、口咽及下咽",52.57,2.54
1981,"不分男女","台南市","口腔、口咽及下咽",57.54,1.66
1981,"不分男女","高雄市","口腔、口咽及下咽",51.26,2.54
1981,"不分男女","基隆市","口腔、口咽及下咽",57.67,1.72
1981,"不分男女","新竹市","口腔、口咽及下咽",54,1.05
1981,"不分男女","嘉義市","口腔、口咽及下咽",51.44,3.57
1981,"不分男女","新北市","口腔、口咽及下咽",54.56,1.74
1981,"不分男女","桃園市","口腔、口咽及下咽",56.3,2.1
1981,"不分男女","新竹縣","口腔、口咽及下咽",55.5,0.55
1981,"不分男女","宜蘭縣","口腔、口咽及下咽",58.25,0.9
1981,"不分男女","苗栗縣","口腔、口咽及下咽",60.17,1.1
1981,"不分男女","彰化縣","口腔、口咽及下咽",55.22,3.9
1981,"不分男女","南投縣","口腔、口咽及下咽",54.42,2.27
1981,"不分男女","雲林縣","口腔、口咽及下咽",54.79,3.64
1981,"不分男女","嘉義縣","口腔、口咽及下咽",55.13,4.18
1981,"不分男女","屏東縣","口腔、口咽及下咽",54.82,1.91
1981,"不分男女","澎湖縣","口腔、口咽及下咽",46,1.89
1981,"不分男女","花蓮縣","口腔、口咽及下咽",51.5,3.92
1981,"不分男女","台東縣","口腔、口咽及下咽",54.4,1.78
1981,"不分男女","連江縣","口腔、口咽及下咽",45,12.2
1981,"男","台閩地區","口腔、口咽及下咽",53.91,4.01
1981,"男","台北市","口腔、口咽及下咽",55.03,2.56
1981,"男","台中市","口腔、口咽及下咽",52.73,4.34
1981,"男","台南市","口腔、口咽及下咽",58.38,2.58
1981,"男","高雄市","口腔、口咽及下咽",51.09,4.54
1981,"男","基隆市","口腔、口咽及下咽",60.4,2.73
1981,"男","新竹市","口腔、口咽及下咽",54,2.02
1981,"男","嘉義市","口腔、口咽及下咽",51.38,6.15
1981,"男","新北市","口腔、口咽及下咽",54.09,2.63
1981,"男","桃園市","口腔、口咽及下咽",55.48,3.64
1981,"男","新竹縣","口腔、口咽及下咽",50,0.52
1981,"男","宜蘭縣","口腔、口咽及下咽",58.25,1.71
1981,"男","苗栗縣","口腔、口咽及下咽",60.8,1.75
1981,"男","彰化縣","口腔、口咽及下咽",52.89,5.91
1981,"男","南投縣","口腔、口咽及下咽",54.9,3.63
1981,"男","雲林縣","口腔、口咽及下咽",54.86,5.31
1981,"男","嘉義縣","口腔、口咽及下咽",54.59,7.33
1981,"男","屏東縣","口腔、口咽及下咽",51.86,2.98
1981,"男","澎湖縣","口腔、口咽及下咽",64,1.81
1981,"男","花蓮縣","口腔、口咽及下咽",52.64,5.63
1981,"男","台東縣","口腔、口咽及下咽",54.75,2.59
1981,"男","連江縣","口腔、口咽及下咽",45,21.3
